olive_oil	12.60	11.54	R	R	A		Huile d'olive vierge extra 1 L, densite 0,91 prise en compte
water	0.0043	0.0015	E	E	A		Eau du robinet 4,30 EUR/m3 FR et 1,45 USD/m3 US. Reelle mais negligeable devant tout aliment
coffee	20.00	18.74	R	P	I	6.5	La ligne est le cafe INFUSE (6,9 kcal/100 g), pas la poudre. 6,5 g de moulu par 100 g de boisson
tea	30.00	30.00	R	R	I	0.5	La ligne est le the INFUSE (0,1 kcal/100 g). 0,5 g de feuilles par 100 g de boisson
beer	2.60	3.50	R	R	A
wine	5.50	9.00	R	R	A
chips_fries	2.20	3.30	R	R	D	120	Frites surgelees; la ligne est l'etat cuit au four (213 kcal). 120 g de surgele par 100 g cuit
crisps	12.00	14.00	R	R	A
cola	1.20	1.60	R	R	A
orange_juice	2.20	3.43	R	P	A
ham	15.00	10.80	R	P	A		Jambon blanc superieur FR / boneless ham US
pork_loin	10.00	8.82	R	P	A
turkey_breast	12.80	8.82	V	P	A		FR: escalope de dinde, RNM detail 12,80 EUR/kg
soy_milk	1.80	1.30	R	R	A
tempeh	16.00	12.13	E	R	A
tofu	9.00	6.17	R	R	A
crab	30.00	40.00	E	E	A		Chair de crabe, pas le crabe entier
mussels	5.00	8.82	R	R	X	357	Moules vendues EN COQUILLE, rendement chair 28 pc
prawns	24.00	20.94	R	P	A		Crevettes cuites decortiquees
scallops	30.00	39.69	E	R	A		Noix sans corail
squid	12.00	13.23	R	R	A
cheddar	14.00	13.67	R	P	A
cream_cheese	9.00	8.80	R	R	A
feta	13.00	13.20	R	R	A
goat_cheese	16.00	22.00	R	R	A
halloumi	16.00	22.00	E	E	A
mozzarella	9.50	9.90	R	R	A
parmesan	28.00	22.00	R	R	A
biscuits	8.00	9.00	R	R	A
dark_chocolate	22.00	24.00	R	R	A		Niveau post-flambee du cacao 2024-2026
honey	14.00	12.00	R	R	A
ice_cream	6.00	6.00	R	R	A
jam	5.00	6.00	R	R	A
maple_syrup	30.00	22.00	E	R	A		Produit domestique aux Etats-Unis, importe en France
sugar	1.30	2.43	R	P	A
anchovy	30.00	40.00	R	E	A		Filets sales ou a l'huile, en boite
herring	9.00	17.64	R	R	A
mackerel	10.00	19.84	R	R	A
salmon	26.00	25.35	R	R	A		Filet frais
sardines	12.00	16.00	R	R	A		En boite
smoked_salmon	42.00	48.00	R	R	A
trout	14.00	17.64	R	R	A
cod	22.00	22.05	R	R	A		Filet
haddock	15.00	22.05	R	R	A
hake	18.00	15.43	R	R	A
plaice	14.00	14.33	R	R	A
pollock	12.00	13.23	R	R	A
sea_bass	24.00	30.86	R	R	A
tuna_fresh	26.00	26.46	R	R	A
tuna_tinned	14.00	11.50	R	R	A		Poids egoutte
blackberry	24.00	17.64	R	R	A
blueberries	22.00	11.02	R	R	A		Ecart FR/US structurel: production nord-americaine de masse
